File '/magma/targets/php_6_2/repo/ext/exif/exif.c':
Name                                         Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
------------------------------------------------------------------------------------------------------------------------
zm_info_exif                                       5       5   0.00%        14      14   0.00%         2       2   0.00%
OnUpdateEncode                                    17       4  76.47%        13       3  76.92%         6       2  66.67%
OnUpdateDecode                                    15       4  73.33%        13       3  76.92%         4       2  50.00%
zm_startup_exif                                    7       2  71.43%         9       2  77.78%         2       1  50.00%
zm_shutdown_exif                                   9       9   0.00%         8       8   0.00%         2       2   0.00%
zif_exif_tagname                                  53      53   0.00%        12      12   0.00%         8       8   0.00%
zif_exif_read_data                               605     483  20.17%       142     115  19.01%       198     177  10.61%
zif_exif_thumbnail                               580     580   0.00%        55      55   0.00%       158     158   0.00%
zif_exif_imagetype                                56      56   0.00%        20      20   0.00%         8       8   0.00%
exif.c:zm_globals_ctor_exif                        1       0 100.00%         9       0 100.00%         0       0   0.00%
exif.c:exif_get_tagname                            1       1   0.00%         3       3   0.00%         0       0   0.00%
exif.c:exif_get_tag_ht                            14      14   0.00%        14      14   0.00%         4       4   0.00%
exif.c:exif_tag_ht_dtor                            3       3   0.00%         5       5   0.00%         0       0   0.00%
exif.c:exif_make_tag_ht                            8       8   0.00%        11      11   0.00%         4       4   0.00%
exif.c:exif_get_sectionname                       30       1  96.67%        19       1  94.74%        30       1  96.67%
exif.c:exif_read_from_stream                       8       0 100.00%        12       0 100.00%         4       2  50.00%
exif.c:exif_read_from_impl                        26      11  57.69%        43      13  69.77%         8       6  25.00%
exif.c:exif_error_docref                          15       5  66.67%        16       6  62.50%        10       6  40.00%
exif.c:exif_scan_FILE_header                      48      28  41.67%        52      33  36.54%        22      13  40.91%
exif.c:exif_scan_JPEG_header                     134      91  32.09%       118      89  24.58%        82      70  14.63%
exif.c:exif_file_sections_add                     13      13   0.00%        22      22   0.00%         8       8   0.00%
exif.c:exif_process_COM                            4       4   0.00%         3       3   0.00%         0       0   0.00%
exif.c:exif_process_APP1                           7       7   0.00%         8       8   0.00%         4       4   0.00%
exif.c:exif_process_TIFF_in_JPEG                  36      36   0.00%        40      40   0.00%        18      18   0.00%
exif.c:php_ifd_get16u                              4       4   0.00%         7       7   0.00%         2       2   0.00%
exif.c:exif_offset_info_init                       8       8   0.00%         6       6   0.00%         2       2   0.00%
exif.c:ptr_offset_overflows                        1       1   0.00%         3       3   0.00%         0       0   0.00%
exif.c:exif_process_IFD_in_JPEG                   51      51   0.00%        51      51   0.00%        30      30   0.00%
exif.c:exif_offset_info_contains                   6       6   0.00%         8       8   0.00%         6       6   0.00%
