File '/magma/targets/libxml2_8_1/repo/parser.c':
Name                                              Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
-----------------------------------------------------------------------------------------------------------------------------
xmlHasFeature                                          36      36   0.00%       106     106   0.00%        68      68   0.00%
xmlCheckLanguageID                                    173       0 100.00%       103       0 100.00%       142       4  97.18%
inputPush                                              11       2  81.82%        21       7  66.67%         8       3  62.50%
inputPop                                               10       1  90.00%        15       1  93.33%         6       1  83.33%
nodePush                                               15       4  73.33%        26       9  65.38%        10       5  50.00%
nodePop                                                10       1  90.00%        14       0 100.00%         6       1  83.33%
namePush                                               11      11   0.00%        20      20   0.00%         6       6   0.00%
namePop                                                 9       1  88.89%        13       1  92.31%         6       2  66.67%
xmlSkipBlankChars                                      61       0 100.00%        41       0 100.00%        36       0 100.00%
xmlPopInput                                            18       4  77.78%        14       4  71.43%        14       7  50.00%
xmlPushInput                                           28       6  78.57%        24       8  66.67%        22       8  63.64%
xmlParseCharRef                                       150       6  96.00%        76       4  94.74%        96      11  88.54%
xmlParserHandlePEReference                             39      39   0.00%        41      41   0.00%        52      52   0.00%
xmlStringLenDecodeEntities                            210      75  64.29%       153      57  62.75%       132      59  55.30%
xmlStringDecodeEntities                                 6       0 100.00%         5       0 100.00%         4       1  75.00%
xmlSplitQName                                         128       8  93.75%       114      16  85.96%       102      11  89.22%
xmlParseName                                           52       3  94.23%        33       4  87.88%        46       4  91.30%
xmlParseNmtoken                                       100      16  84.00%        77      18  76.62%        58      16  72.41%
xmlParseEntityValue                                   126       6  95.24%        97      13  86.60%        90      16  82.22%
xmlParseAttValue                                        6       1  83.33%         4       0 100.00%         4       2  50.00%
xmlParseSystemLiteral                                 137       5  96.35%        74      16  78.38%       100      19  81.00%
xmlParsePubidLiteral                                   89       5  94.38%        72      14  80.56%        52      12  76.92%
xmlParseCharData                                      137       5  96.35%       131       2  98.47%       106      19  82.08%
xmlParseExternalID                                     81      11  86.42%        40       3  92.50%        54       8  85.19%
xmlParseComment                                       159       7  95.60%       149      24  83.89%       110      17  84.55%
xmlParsePITarget                                       40       0 100.00%        32       0 100.00%        32       0 100.00%
xmlParsePI                                            183      14  92.35%       126      37  70.63%       128      27  78.91%
xmlParseNotationDecl                                   73       5  93.15%        47       4  91.49%        50      11  78.00%
xmlParseEntityDecl                                    231      26  88.74%       200      34  83.00%       172      38  77.91%
xmlParseDefaultDecl                                    84       0 100.00%        30       0 100.00%        56       0 100.00%
xmlParseNotationType                                   45      41   8.89%        52      45  13.46%        26      25   3.85%
xmlParseEnumerationType                                47       2  95.74%        51       3  94.12%        28       5  82.14%
xmlParseEnumeratedType                                 38       1  97.37%        16       1  93.75%        24       1  95.83%
xmlParseAttributeType                                 179       7  96.09%        29       2  93.10%       116       4  96.55%
xmlParseAttributeListDecl                             143       6  95.80%        99      10  89.90%       104      20  80.77%
xmlParseElementMixedContentDecl                       120       7  94.17%        90      17  81.11%        76      23  69.74%
xmlParseElementChildrenContentDecl                      1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlParseElementContentDecl                             35       2  94.29%        26       5  80.77%        22       3  86.36%
xmlParseElementDecl                                   113       1  99.12%        71       4  94.37%        74       9  87.84%
