File '/magma/targets/php_11_2/repo/ext/exif/exif.c':
Name                                         Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
------------------------------------------------------------------------------------------------------------------------
zm_info_exif                                       5       5   0.00%        14      14   0.00%         2       2   0.00%
OnUpdateEncode                                    17       4  76.47%        13       3  76.92%         6       2  66.67%
OnUpdateDecode                                    15       4  73.33%        13       3  76.92%         4       2  50.00%
zm_startup_exif                                    7       2  71.43%         9       2  77.78%         2       1  50.00%
zm_shutdown_exif                                   9       9   0.00%         8       8   0.00%         2       2   0.00%
zif_exif_tagname                                  53      53   0.00%        12      12   0.00%         8       8   0.00%
zif_exif_read_data                               605     381  37.02%       142      45  68.31%       198     138  30.30%
zif_exif_thumbnail                               580     580   0.00%        55      55   0.00%       158     158   0.00%
zif_exif_imagetype                                56      56   0.00%        20      20   0.00%         8       8   0.00%
exif.c:zm_globals_ctor_exif                        1       0 100.00%         9       0 100.00%         0       0   0.00%
exif.c:exif_get_tagname                            1       1   0.00%         3       3   0.00%         0       0   0.00%
exif.c:exif_get_tag_ht                            14       0 100.00%        14       0 100.00%         4       0 100.00%
exif.c:exif_tag_ht_dtor                            3       3   0.00%         5       5   0.00%         0       0   0.00%
exif.c:exif_make_tag_ht                            8       2  75.00%        11       2  81.82%         4       1  75.00%
exif.c:exif_get_sectionname                       30       1  96.67%        19       1  94.74%        30       1  96.67%
exif.c:exif_read_from_stream                       8       0 100.00%        12       0 100.00%         4       2  50.00%
exif.c:exif_read_from_impl                        26      11  57.69%        43      13  69.77%         8       6  25.00%
exif.c:exif_error_docref                          15       1  93.33%        16       0 100.00%        10       3  70.00%
exif.c:exif_scan_FILE_header                      48       2  95.83%        52       4  92.31%        22       2  90.91%
exif.c:exif_scan_JPEG_header                     134      13  90.30%       118      15  87.29%        82       7  91.46%
exif.c:exif_file_sections_add                     13       1  92.31%        22       1  95.45%         8       2  75.00%
exif.c:exif_process_COM                            4       0 100.00%         3       0 100.00%         0       0   0.00%
exif.c:exif_process_APP1                           7       0 100.00%         8       0 100.00%         4       0 100.00%
exif.c:exif_process_TIFF_in_JPEG                  36       3  91.67%        40       5  87.50%        18       2  88.89%
exif.c:php_ifd_get16u                              4       0 100.00%         7       0 100.00%         2       0 100.00%
exif.c:exif_offset_info_init                       8       1  87.50%         6       0 100.00%         2       1  50.00%
exif.c:ptr_offset_overflows                        1       0 100.00%         3       0 100.00%         0       0   0.00%
exif.c:exif_process_IFD_in_JPEG                   51       1  98.04%        51       2  96.08%        30       1  96.67%
exif.c:exif_offset_info_contains                   6       1  83.33%         8       2  75.00%         6       2  66.67%
