File '/magma/targets/openssl_17_4/repo/crypto/x509/x509_vfy.c':
Name                                  Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
-----------------------------------------------------------------------------------------------------------------
X509_self_signed                           19       9  52.63%        14       6  57.14%         8       4  50.00%
X509_STORE_CTX_verify                      15      15   0.00%         9       9   0.00%         6       6   0.00%
X509_verify_cert                           49      28  42.86%        28      15  46.43%        20      12  40.00%
ossl_x509_check_cert_time                  44      44   0.00%        21      21   0.00%        28      28   0.00%
X509_cmp_current_time                       1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_cmp_time                              34      34   0.00%        35      35   0.00%        24      24   0.00%
X509_cmp_timeframe                         22      22   0.00%        16      16   0.00%        14      14   0.00%
X509_gmtime_adj                             1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_time_adj                               1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_time_adj_ex                           17      17   0.00%        14      14   0.00%        10      10   0.00%
X509_get_pubkey_parameters                 41      41   0.00%        28      28   0.00%        18      18   0.00%
X509_CRL_diff                             119     119   0.00%        72      72   0.00%        52      52   0.00%
X509_STORE_CTX_set_ex_data                  1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get_ex_data                  1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get_error                    1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_error                    1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get_error_depth              1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_error_depth              1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get_current_cert             1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_current_cert             1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get0_chain                   1       0 100.00%         3       0 100.00%         0       0   0.00%
X509_STORE_CTX_get1_chain                   4       4   0.00%         5       5   0.00%         2       2   0.00%
X509_STORE_CTX_get0_current_issuer          1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get0_current_crl             1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get0_parent_ctx              1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_cert                     1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set0_crls                    1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_purpose                  1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_trust                    1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_purpose_inherit             46      46   0.00%        36      36   0.00%        24      24   0.00%
X509_STORE_CTX_new_ex                      28      20  28.57%        17      10  41.18%         6       4  33.33%
X509_STORE_CTX_new                          1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_free                        10       1  90.00%         7       1  85.71%         2       1  50.00%
X509_STORE_CTX_init                       107      41  61.68%       106      29  72.64%        62      31  50.00%
X509_STORE_CTX_set0_trusted_stack           1       1   0.00%         5       5   0.00%         0       0   0.00%
X509_STORE_CTX_cleanup                      9       1  88.89%        17       3  82.35%         6       2  66.67%
X509_STORE_CTX_set_depth                    1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_flags                    1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set_time                     1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get0_cert                    1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_get0_untrusted               1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set0_untrusted               1       1   0.00%         3       3   0.00%         0       0   0.00%
X509_STORE_CTX_set0_verified_chain          2       2   0.00%         4       4   0.00%         0       0   0.00%
