File '/magma/targets/php_4_1/repo/ext/exif/exif.c':
Name                                         Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
------------------------------------------------------------------------------------------------------------------------
zm_info_exif                                       5       5   0.00%        14      14   0.00%         2       2   0.00%
OnUpdateEncode                                    17       4  76.47%        13       3  76.92%         6       2  66.67%
OnUpdateDecode                                    15       4  73.33%        13       3  76.92%         4       2  50.00%
zm_startup_exif                                    7       2  71.43%         9       2  77.78%         2       1  50.00%
zm_shutdown_exif                                   9       9   0.00%         8       8   0.00%         2       2   0.00%
zif_exif_tagname                                  53      53   0.00%        12      12   0.00%         8       8   0.00%
zif_exif_read_data                               605     605   0.00%       142     142   0.00%       198     198   0.00%
zif_exif_thumbnail                               580     580   0.00%        55      55   0.00%       158     158   0.00%
zif_exif_imagetype                                56      56   0.00%        20      20   0.00%         8       8   0.00%
exif.c:zm_globals_ctor_exif                        1       0 100.00%         9       0 100.00%         0       0   0.00%
exif.c:exif_get_tagname                            1       1   0.00%         3       3   0.00%         0       0   0.00%
exif.c:exif_get_tag_ht                            14      14   0.00%        14      14   0.00%         4       4   0.00%
exif.c:exif_tag_ht_dtor                            3       3   0.00%         5       5   0.00%         0       0   0.00%
exif.c:exif_make_tag_ht                            8       8   0.00%        11      11   0.00%         4       4   0.00%
exif.c:exif_get_sectionname                       30      30   0.00%        19      19   0.00%        30      30   0.00%
exif.c:exif_read_from_stream                       8       8   0.00%        12      12   0.00%         4       4   0.00%
exif.c:exif_read_from_impl                        26      26   0.00%        43      43   0.00%         8       8   0.00%
exif.c:exif_error_docref                          15      15   0.00%        16      16   0.00%        10      10   0.00%
exif.c:exif_scan_FILE_header                      48      48   0.00%        52      52   0.00%        22      22   0.00%
exif.c:exif_scan_JPEG_header                     134     134   0.00%       118     118   0.00%        82      82   0.00%
exif.c:exif_file_sections_add                     13      13   0.00%        22      22   0.00%         8       8   0.00%
exif.c:exif_process_COM                            4       4   0.00%         3       3   0.00%         0       0   0.00%
exif.c:exif_process_APP1                           7       7   0.00%         8       8   0.00%         4       4   0.00%
exif.c:exif_process_TIFF_in_JPEG                  36      36   0.00%        40      40   0.00%        18      18   0.00%
exif.c:php_ifd_get16u                              4       4   0.00%         7       7   0.00%         2       2   0.00%
exif.c:exif_offset_info_init                       8       8   0.00%         6       6   0.00%         2       2   0.00%
exif.c:ptr_offset_overflows                        1       1   0.00%         3       3   0.00%         0       0   0.00%
exif.c:exif_process_IFD_in_JPEG                   51      51   0.00%        51      51   0.00%        30      30   0.00%
exif.c:exif_offset_info_contains                   6       6   0.00%         8       8   0.00%         6       6   0.00%
