Filename                                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
magma/src/arch/x86.h                                                         2                 2     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
magma/src/canary.c                                                          22                 4    81.82%           3                 1    66.67%          53                14    73.58%          14                 6    57.14%
magma/src/storage.c                                                         43                33    23.26%           3                 2    33.33%          47                36    23.40%          22                19    13.64%
targets/libtiff_7_1/repo/contrib/oss-fuzz/tiff_read_rgba_fuzzer.cc          53                 2    96.23%           2                 0   100.00%          51                 0   100.00%          32                 8    75.00%
targets/libtiff_7_1/repo/libtiff/tif_aux.c                                 188                98    47.87%          14                 3    78.57%         286               162    43.36%         142                71    50.00%
targets/libtiff_7_1/repo/libtiff/tif_close.c                                36                 9    75.00%           2                 0   100.00%          46                15    67.39%          28                10    64.29%
targets/libtiff_7_1/repo/libtiff/tif_codec.c                                17                11    35.29%           3                 1    66.67%          31                13    58.06%           8                 7    12.50%
targets/libtiff_7_1/repo/libtiff/tif_color.c                               200                14    93.00%           6                 0   100.00%         146                 6    95.89%          94                13    86.17%
targets/libtiff_7_1/repo/libtiff/tif_compress.c                             73                45    38.36%          19                 9    52.63%         173               107    38.15%          32                23    28.12%
targets/libtiff_7_1/repo/libtiff/tif_dir.c                                1038               464    55.30%          34                17    50.00%        1394               705    49.43%         724               329    54.56%
targets/libtiff_7_1/repo/libtiff/tif_dirinfo.c                             495               242    51.11%          27                16    40.74%         689               381    44.70%         572               271    52.62%
targets/libtiff_7_1/repo/libtiff/tif_dirread.c                            3379               934    72.36%         106                24    77.36%        5490              1548    71.80%        2618               801    69.40%
targets/libtiff_7_1/repo/libtiff/tif_dirwrite.c                           1810              1810     0.00%          70                70     0.00%        2282              2282     0.00%        1050              1050     0.00%
targets/libtiff_7_1/repo/libtiff/tif_dumpmode.c                             22                14    36.36%           5                 2    60.00%          58                25    56.90%          14                11    21.43%
targets/libtiff_7_1/repo/libtiff/tif_error.c                                12                 7    41.67%           4                 2    50.00%          36                22    38.89%           8                 6    25.00%
targets/libtiff_7_1/repo/libtiff/tif_fax3.c                               3632              1771    51.24%          35                15    57.14%         935               478    48.88%        1820              1007    44.67%
targets/libtiff_7_1/repo/libtiff/tif_flush.c                                88                88     0.00%           3                 3     0.00%          87                87     0.00%          58                58     0.00%
targets/libtiff_7_1/repo/libtiff/tif_getimage.c                           1934               595    69.23%          63                15    76.19%        2234               691    69.07%        1234               378    69.37%
targets/libtiff_7_1/repo/libtiff/tif_jpeg.c                               1060               755    28.77%          70                47    32.86%        1440              1018    29.31%         588               409    30.44%
