Filename                                                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
magma/magma/src/arch/x86.h                                                                  2                 2     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
magma/magma/src/canary.c                                                                   22                 4    81.82%           3                 1    66.67%          53                14    73.58%          14                 4    71.43%
magma/magma/src/storage.c                                                                  43                33    23.26%           3                 2    33.33%          47                36    23.40%          22                19    13.64%
magma/targets/poppler_9_1/freetype2/builds/unix/ftsystem.c                                107                96    10.28%           8                 3    62.50%         130               102    21.54%          26                25     3.85%
magma/targets/poppler_9_1/freetype2/include/freetype/internal/ftcalc.h                      1                 0   100.00%           1                 0   100.00%          49                41    16.33%           0                 0         -
magma/targets/poppler_9_1/freetype2/src/autofit/afangles.c                                 44                44     0.00%           2                 2     0.00%          66                66     0.00%          32                32     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afcjk.c                                  1023              1023     0.00%          21                21     0.00%        1322              1322     0.00%         604               604     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afdummy.c                                   6                 6     0.00%           2                 2     0.00%          17                17     0.00%           2                 2     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afglobal.c                                174               174     0.00%           5                 5     0.00%         215               215     0.00%          92                92     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afhints.c                                 515               515     0.00%          14                14     0.00%         751               751     0.00%         278               278     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afindic.c                                  12                12     0.00%           5                 5     0.00%          28                28     0.00%           6                 6     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/aflatin.c                                1569              1569     0.00%          20                20     0.00%        2073              2073     0.00%         932               932     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afloader.c                                266               266     0.00%           6                 6     0.00%         380               380     0.00%         116               116     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afmodule.c                                235               219     6.81%           7                 4    42.86%         285               260     8.77%         108               108     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afshaper.c                                 56                56     0.00%           5                 5     0.00%          51                51     0.00%          28                28     0.00%
magma/targets/poppler_9_1/freetype2/src/autofit/afwarp.c                                  111               111     0.00%           2                 2     0.00%         189               189     0.00%          66                66     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftadvanc.c                                   127               127     0.00%           3                 3     0.00%          75                75     0.00%          56                56     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftbitmap.c                                   592               589     0.51%          10                 9    10.00%         725               721     0.55%         320               319     0.31%
magma/targets/poppler_9_1/freetype2/src/base/ftcalc.c                                     282               135    52.13%          16                 7    56.25%         241               120    50.21%         118                72    38.98%
magma/targets/poppler_9_1/freetype2/src/base/ftcolor.c                                     52                52     0.00%           3                 3     0.00%          44                44     0.00%          20                20     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftdebug.c                                     12                12     0.00%           9                 9     0.00%          23                23     0.00%           0                 0         -
magma/targets/poppler_9_1/freetype2/src/base/fterrors.c                                     7                 7     0.00%           1                 1     0.00%           6                 6     0.00%           4                 4     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftfntfmt.c                                    28                28     0.00%           2                 2     0.00%          12                12     0.00%           8                 8     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftgloadr.c                                   169                13    92.31%          11                 0   100.00%         180                 9    95.00%          54                14    74.07%
magma/targets/poppler_9_1/freetype2/src/base/ftglyph.c                                    260               188    27.69%          18                12    33.33%         315               230    26.98%         120                97    19.17%
magma/targets/poppler_9_1/freetype2/src/base/fthash.c                                      98                25    74.49%          16                 7    56.25%         151                49    67.55%          36                16    55.56%
magma/targets/poppler_9_1/freetype2/src/base/ftinit.c                                      96                79    17.71%           4                 0   100.00%          93                48    48.39%          60                53    11.67%
magma/targets/poppler_9_1/freetype2/src/base/ftlcdfil.c                                   114               114     0.00%           4                 4     0.00%          35                35     0.00%          56                56     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftobjs.c                                    3257              2078    36.20%         114                59    48.25%        3046              1731    43.17%        1382               947    31.48%
magma/targets/poppler_9_1/freetype2/src/base/ftoutln.c                                    563               288    48.85%          15                 6    60.00%         571               271    52.54%         250               158    36.80%
magma/targets/poppler_9_1/freetype2/src/base/ftpsprop.c                                   144               144     0.00%           2                 2     0.00%         151               151     0.00%          72                72     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftrfork.c                                    466               333    28.54%          18                16    11.11%         431               320    25.75%         168               117    30.36%
magma/targets/poppler_9_1/freetype2/src/base/ftsnames.c                                    89                89     0.00%           3                 3     0.00%          65                65     0.00%          44                44     0.00%
magma/targets/poppler_9_1/freetype2/src/base/ftstream.c                                   455               197    56.70%          25                 5    80.00%         520               184    64.62%         166                69    58.43%
magma/targets/poppler_9_1/freetype2/src/base/fttrigon.c                                   154               105    31.82%          14                10    28.57%         245               166    32.24%          78                57    26.92%
magma/targets/poppler_9_1/freetype2/src/base/ftutil.c                                     175                64    63.43%          15                 4    73.33%         201                72    64.18%         100                50    50.00%
magma/targets/poppler_9_1/freetype2/src/bdf/bdfdrivr.c                                    596               496    16.78%          13                10    23.08%         596               551     7.55%         300               295     1.67%
magma/targets/poppler_9_1/freetype2/src/bdf/bdflib.c                                     1745              1581     9.40%          25                19    24.00%        1329              1163    12.49%         930               881     5.27%
magma/targets/poppler_9_1/freetype2/src/cff/cffcmap.c                                      59                24    59.32%           9                 4    55.56%          81                41    49.38%          12                 9    25.00%
magma/targets/poppler_9_1/freetype2/src/cff/cffdrivr.c                                    359               307    14.48%          24                21    12.50%         446               392    12.11%         158               138    12.66%
magma/targets/poppler_9_1/freetype2/src/cff/cffgload.c                                    185                55    70.27%           3                 0   100.00%         370               155    58.11%         112                52    53.57%
magma/targets/poppler_9_1/freetype2/src/cff/cffload.c                                    1568               510    67.47%          34                 4    88.24%        1468               421    71.32%         674               273    59.50%
magma/targets/poppler_9_1/freetype2/src/cff/cffobjs.c                                     538               124    76.95%          15                 1    93.33%         710               119    83.24%         284                86    69.72%
magma/targets/poppler_9_1/freetype2/src/cff/cffparse.c                                    587               163    72.23%          19                 3    84.21%         781               208    73.37%         280                72    74.29%
magma/targets/poppler_9_1/freetype2/src/cid/cidgload.c                                    184               184     0.00%           2                 2     0.00%         266               266     0.00%          84                84     0.00%
magma/targets/poppler_9_1/freetype2/src/cid/cidload.c                                     537               526     2.05%          12                 9    25.00%         582               556     4.47%         236               235     0.42%
magma/targets/poppler_9_1/freetype2/src/cid/cidobjs.c                                     278               131    52.88%          10                 6    40.00%         255               173    32.16%          82                72    12.20%
magma/targets/poppler_9_1/freetype2/src/cid/cidparse.c                                    159               132    16.98%           2                 0   100.00%         134               108    19.40%          48                43    10.42%
magma/targets/poppler_9_1/freetype2/src/cid/cidriver.c                                     24                22     8.33%           7                 6    14.29%          42                38     9.52%          14                14     0.00%
magma/targets/poppler_9_1/freetype2/src/gzip/ftgzip.c                                     311               285     8.36%          15                13    13.33%         365               339     7.12%         130               122     6.15%
magma/targets/poppler_9_1/freetype2/src/lzw/ftlzw.c                                       120                98    18.33%          10                 8    20.00%         176               154    12.50%          52                44    15.38%
magma/targets/poppler_9_1/freetype2/src/lzw/ftzopen.c                                     227               227     0.00%           8                 8     0.00%         253               253     0.00%         112               112     0.00%
magma/targets/poppler_9_1/freetype2/src/pcf/pcfdrivr.c                                    387               263    32.04%          16                11    31.25%         374               307    17.91%         138               130     5.80%
magma/targets/poppler_9_1/freetype2/src/pcf/pcfread.c                                    1199              1171     2.34%          12                10    16.67%         952               926     2.73%         470               465     1.06%
magma/targets/poppler_9_1/freetype2/src/pcf/pcfutil.c                                      12                12     0.00%           3                 3     0.00%          31                31     0.00%           6                 6     0.00%
magma/targets/poppler_9_1/freetype2/src/pfr/pfrcmap.c                                      43                43     0.00%           4                 4     0.00%          87                87     0.00%          22                22     0.00%
magma/targets/poppler_9_1/freetype2/src/pfr/pfrdrivr.c                                     32                30     6.25%           4                 3    25.00%          64                60     6.25%          22                22     0.00%
magma/targets/poppler_9_1/freetype2/src/pfr/pfrgload.c                                    646               646     0.00%          12                12     0.00%         525               525     0.00%         230               230     0.00%
magma/targets/poppler_9_1/freetype2/src/pfr/pfrload.c                                     850               770     9.41%          13                10    23.08%         536               490     8.58%         242               237     2.07%
magma/targets/poppler_9_1/freetype2/src/pfr/pfrobjs.c                                     261               227    13.03%           6                 4    33.33%         346               319     7.80%         116               112     3.45%
magma/targets/poppler_9_1/freetype2/src/pfr/pfrsbit.c                                     424               424     0.00%           8                 8     0.00%         513               513     0.00%         204               204     0.00%
magma/targets/poppler_9_1/freetype2/src/psaux/afmparse.c                                  457               457     0.00%          15                15     0.00%         566               566     0.00%         270               270     0.00%
magma/targets/poppler_9_1/freetype2/src/psaux/cffdecode.c                                  54                 6    88.89%           4                 0   100.00%          79                 9    88.61%          24                 6    75.00%
magma/targets/poppler_9_1/freetype2/src/psaux/psarrst.c                                    91                20    78.02%           9                 0   100.00%          94                17    81.91%          16                 7    56.25%
magma/targets/poppler_9_1/freetype2/src/psaux/psblues.c                                   229                 1    99.56%           2                 0   100.00%         290                 1    99.66%         112                 4    96.43%
magma/targets/poppler_9_1/freetype2/src/psaux/psconv.c                                    259                24    90.73%           5                 0   100.00%         245                23    90.61%         176                27    84.66%
magma/targets/poppler_9_1/freetype2/src/psaux/pserror.c                                     5                 0   100.00%           1                 0   100.00%           4                 0   100.00%           4                 0   100.00%
magma/targets/poppler_9_1/freetype2/src/psaux/psfont.c                                    160                82    48.75%           3                 0   100.00%         245               119    51.43%          68                38    44.12%
magma/targets/poppler_9_1/freetype2/src/psaux/psft.c                                      395                91    76.96%          33                 4    87.88%         444               103    76.80%          94                41    56.38%
magma/targets/poppler_9_1/freetype2/src/psaux/pshints.c                                   690               184    73.33%          29                 1    96.55%        1023               198    80.65%         320                96    70.00%
magma/targets/poppler_9_1/freetype2/src/psaux/psintrp.c                                  1474               404    72.59%          12                 1    91.67%        1867               558    70.11%         684               199    70.91%
magma/targets/poppler_9_1/freetype2/src/psaux/psobjs.c                                   1038               344    66.86%          55                17    69.09%        1333               379    71.57%         588               203    65.48%
magma/targets/poppler_9_1/freetype2/src/psaux/psread.c                                     10                 0   100.00%           2                 0   100.00%          15                 0   100.00%           2                 0   100.00%
magma/targets/poppler_9_1/freetype2/src/psaux/psstack.c                                   147                45    69.39%          12                 1    91.67%         152                48    68.42%          50                21    58.00%
magma/targets/poppler_9_1/freetype2/src/psaux/t1cmap.c                                     95                50    47.37%          15                 7    53.33%         135                76    43.70%          28                26     7.14%
magma/targets/poppler_9_1/freetype2/src/psaux/t1decode.c                                  259               119    54.05%           4                 1    75.00%         301               131    56.48%         128                53    58.59%
magma/targets/poppler_9_1/freetype2/src/pshinter/pshalgo.c                                904               904     0.00%          25                25     0.00%        1158              1158     0.00%         500               500     0.00%
magma/targets/poppler_9_1/freetype2/src/pshinter/pshglob.c                                213                34    84.04%          10                 1    90.00%         423                46    89.13%         130                30    76.92%
magma/targets/poppler_9_1/freetype2/src/pshinter/pshmod.c                                   5                 0   100.00%           5                 0   100.00%          25                 0   100.00%           0                 0         -
magma/targets/poppler_9_1/freetype2/src/pshinter/pshrec.c                                 387               349     9.82%          39                32    17.95%         639               592     7.36%         186               185     0.54%
magma/targets/poppler_9_1/freetype2/src/psnames/psmodule.c                                191                48    74.87%          10                 2    80.00%         275                75    72.73%         114                32    71.93%
magma/targets/poppler_9_1/freetype2/src/psnames/pstables.h                                 41                 1    97.56%           1                 0   100.00%          69                 1    98.55%          26                 2    92.31%
magma/targets/poppler_9_1/freetype2/src/raster/ftraster.c                                1506               126    91.63%          37                 1    97.30%        1393                79    94.33%         560                79    85.89%
magma/targets/poppler_9_1/freetype2/src/raster/ftrend1.c                                   86                52    39.53%           5                 3    40.00%          83                44    46.99%          32                14    56.25%
magma/targets/poppler_9_1/freetype2/src/sdf/ftbsdf.c                                      489               475     2.86%          14                12    14.29%         458               443     3.28%         236               235     0.42%
magma/targets/poppler_9_1/freetype2/src/sdf/ftsdf.c                                      1025              1010     1.46%          31                29     6.45%        1121              1104     1.52%         412               411     0.24%
magma/targets/poppler_9_1/freetype2/src/sdf/ftsdfcommon.c                                  21                21     0.00%           3                 3     0.00%          36                36     0.00%          16                16     0.00%
magma/targets/poppler_9_1/freetype2/src/sdf/ftsdfrend.c                                   252               223    11.51%          10                 5    50.00%         268               219    18.28%          78                71     8.97%
