File '/magma/targets/poppler_3_1/repo/poppler/GfxState.h':
Name                                                                                      Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
_ZN6Matrix4initEdddddd                                                                          1       1   0.00%         8       8   0.00%         0       0   0.00%
_ZNK6Matrix11determinantEv                                                                      1       0 100.00%         1       0 100.00%         0       0   0.00%
poppler-page.cpp:_ZL8dblToCold                                                                  1       1   0.00%         3       3   0.00%         0       0   0.00%
poppler-page.cpp:_ZL8colToDbli                                                                  1       1   0.00%         3       3   0.00%         0       0   0.00%
poppler-page.cpp:_ZL9dblToByted                                                                 1       1   0.00%         3       3   0.00%         0       0   0.00%
poppler-page.cpp:_ZL9byteToDblh                                                                 1       1   0.00%         3       3   0.00%         0       0   0.00%
poppler-page.cpp:_ZL9byteToColh                                                                 1       1   0.00%         7       7   0.00%         0       0   0.00%
poppler-page.cpp:_ZL9colToBytei                                                                 1       1   0.00%         4       4   0.00%         0       0   0.00%
poppler-page.cpp:_ZL10colToShorti                                                               1       1   0.00%         3       3   0.00%         0       0   0.00%
poppler-page.cpp:_ZL13clearGfxColorP8GfxColor                                                   1       1   0.00%         3       3   0.00%         0       0   0.00%
_ZNK17GfxColorTransform9getIntentEv                                                             1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZNK17GfxColorTransform17getInputPixelTypeEv                                                    1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZNK17GfxColorTransform21getTransformPixelTypeEv                                                1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZN17GfxColorTransformC2Ev                                                                      1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZN13GfxColorSpace11getGrayLineEPhS0_i                                                          1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZN13GfxColorSpace10getRGBLineEPhPji                                                            1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZN13GfxColorSpace10getRGBLineEPhS0_i                                                           1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZN13GfxColorSpace11getRGBXLineEPhS0_i                                                          1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZN13GfxColorSpace11getCMYKLineEPhS0_i                                                          1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZN13GfxColorSpace14getDeviceNLineEPhS0_i                                                       1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZNK13GfxColorSpace10getMappingEv                                                               1       1   0.00%         1       1   0.00%         0       0   0.00%
_ZNK13GfxColorSpace13useGetRGBLineEv                                                            1       0 100.00%         1       0 100.00%         0       0   0.00%
_ZNK13GfxColorSpace14useGetGrayLineEv                                                           1       0 100.00%         1       0 100.00%         0       0   0.00%
_ZNK13GfxColorSpace14useGetCMYKLineEv                                                           1       0 100.00%         1       0 100.00%         0       0   0.00%
_ZNK13GfxColorSpace17useGetDeviceNLineEv                                                        1       0 100.00%         1       0 100.00%         0       0   0.00%
_ZNK13GfxColorSpace12isNonMarkingEv                                                             1       0 100.00%         1       0 100.00%         0       0   0.00%
