Filename                                                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
magma/src/arch/x86.h                                                                         2                 1    50.00%           2                 1    50.00%          18                 9    50.00%           0                 0         -
magma/src/canary.c                                                                          22                 4    81.82%           3                 1    66.67%          53                14    73.58%          14                 4    71.43%
magma/src/storage.c                                                                         43                33    23.26%           3                 2    33.33%          47                36    23.40%          22                19    13.64%
targets/php_11_2/repo/Zend/Optimizer/block_pass.c                                         4192              4192     0.00%          14                14     0.00%        1549              1549     0.00%        1274              1274     0.00%
targets/php_11_2/repo/Zend/Optimizer/compact_literals.c                                    875               875     0.00%           4                 4     0.00%         713               713     0.00%         490               490     0.00%
targets/php_11_2/repo/Zend/Optimizer/compact_vars.c                                        667               667     0.00%           1                 1     0.00%          87                87     0.00%         184               184     0.00%
targets/php_11_2/repo/Zend/Optimizer/dce.c                                                 766               766     0.00%          15                15     0.00%         496               496     0.00%         488               488     0.00%
targets/php_11_2/repo/Zend/Optimizer/dfa_pass.c                                           2626              2626     0.00%          17                17     0.00%        1309              1309     0.00%        1038              1038     0.00%
targets/php_11_2/repo/Zend/Optimizer/escape_analysis.c                                    1015              1015     0.00%           8                 8     0.00%         418               418     0.00%         514               514     0.00%
targets/php_11_2/repo/Zend/Optimizer/nop_removal.c                                         284               284     0.00%           1                 1     0.00%          56                56     0.00%          96                96     0.00%
targets/php_11_2/repo/Zend/Optimizer/optimize_func_calls.c                                 377               377     0.00%           3                 3     0.00%         254               254     0.00%         196               196     0.00%
targets/php_11_2/repo/Zend/Optimizer/optimize_temp_vars_5.c                                261               261     0.00%           1                 1     0.00%         123               123     0.00%          82                82     0.00%
targets/php_11_2/repo/Zend/Optimizer/pass1.c                                              1158              1158     0.00%           1                 1     0.00%         527               527     0.00%         394               394     0.00%
targets/php_11_2/repo/Zend/Optimizer/pass3.c                                               818               818     0.00%           2                 2     0.00%         249               249     0.00%         318               318     0.00%
targets/php_11_2/repo/Zend/Optimizer/sccp.c                                               4951              4951     0.00%          50                50     0.00%        1994              1994     0.00%        1908              1908     0.00%
targets/php_11_2/repo/Zend/Optimizer/scdf.c                                                110               110     0.00%           5                 5     0.00%         149               149     0.00%          74                74     0.00%
targets/php_11_2/repo/Zend/Optimizer/scdf.h                                                 38                38     0.00%           4                 4     0.00%          35                35     0.00%           8                 8     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_call_graph.c                                     605               605     0.00%           9                 9     0.00%         207               207     0.00%         236               236     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_cfg.c                                           1836              1836     0.00%          12                12     0.00%         747               747     0.00%         814               814     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_dfg.c                                            805               805     0.00%           3                 3     0.00%         280               280     0.00%         298               298     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_dump.c                                          1459              1459     0.00%          23                23     0.00%        1110              1110     0.00%         682               682     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_func_info.c                                      206               195     5.34%           5                 4    20.00%         105                91    13.33%          54                49     9.26%
targets/php_11_2/repo/Zend/Optimizer/zend_inference.c                                    22361             22361     0.00%          59                59     0.00%        4024              4024     0.00%        7708              7708     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_inference.h                                      459               459     0.00%          11                11     0.00%         143               143     0.00%         148               148     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_optimizer.c                                     2733              2732     0.04%          40                39     2.50%        1252              1249     0.24%        1178              1178     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_optimizer_internal.h                              13                13     0.00%           1                 1     0.00%           4                 4     0.00%           8                 8     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_ssa.c                                           2905              2905     0.00%          33                33     0.00%        1322              1322     0.00%        1110              1110     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_ssa.h                                             96                96     0.00%           8                 8     0.00%          85                85     0.00%          58                58     0.00%
targets/php_11_2/repo/Zend/Optimizer/zend_worklist.h                                        42                42     0.00%           9                 9     0.00%          47                47     0.00%          14                14     0.00%
targets/php_11_2/repo/Zend/zend.c                                                         1695              1370    19.17%          71                43    39.44%         996               708    28.92%         372               311    16.40%
targets/php_11_2/repo/Zend/zend_API.c                                                     7352              6304    14.25%         228               176    22.81%        3603              2875    20.21%        2190              1882    14.06%
targets/php_11_2/repo/Zend/zend_API.h                                                      412               408     0.97%          33                32     3.03%         371               368     0.81%         212               211     0.47%
targets/php_11_2/repo/Zend/zend_alloc.c                                                   1318              1227     6.90%          99                74    25.25%        1538              1384    10.01%         502               481     4.18%
targets/php_11_2/repo/Zend/zend_arena.h                                                    500               485     3.00%           7                 5    28.57%          76                62    18.42%         146               144     1.37%
targets/php_11_2/repo/Zend/zend_ast.c                                                     2725              2725     0.00%          58                58     0.00%        1956              1956     0.00%        1170              1170     0.00%
targets/php_11_2/repo/Zend/zend_ast.h                                                       84                84     0.00%          18                18     0.00%          82                82     0.00%          18                18     0.00%
targets/php_11_2/repo/Zend/zend_attributes.c                                              1090              1027     5.78%          19                16    15.79%         179               126    29.61%         184               177     3.80%
targets/php_11_2/repo/Zend/zend_attributes.h                                                 9                 5    44.44%           5                 4    20.00%          20                16    20.00%           2                 1    50.00%
targets/php_11_2/repo/Zend/zend_attributes_arginfo.h                                        16                 0   100.00%           2                 0   100.00%          19                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_bitset.h                                                    72                72     0.00%          20                20     0.00%         184               184     0.00%          26                26     0.00%
targets/php_11_2/repo/Zend/zend_builtin_functions.c                                       8862              8856     0.07%          66                64     3.03%        1371              1361     0.73%        2080              2079     0.05%
targets/php_11_2/repo/Zend/zend_builtin_functions_arginfo.h                                  3                 0   100.00%           1                 0   100.00%           6                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_closures.c                                                2705              2704     0.04%          29                28     3.45%         529               514     2.84%         642               642     0.00%
targets/php_11_2/repo/Zend/zend_closures_arginfo.h                                           5                 0   100.00%           1                 0   100.00%           7                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_compile.c                                                15045             14934     0.74%         321               311     3.12%        7895              7784     1.41%        4714              4689     0.53%
targets/php_11_2/repo/Zend/zend_compile.h                                                   11                 7    36.36%           3                 2    33.33%          18                13    27.78%           4                 3    25.00%
targets/php_11_2/repo/Zend/zend_constants.c                                                893               748    16.24%          23                11    52.17%         365               255    30.14%         246               230     6.50%
targets/php_11_2/repo/Zend/zend_constants.h                                                  6                 1    83.33%           1                 0   100.00%           6                 2    66.67%           4                 2    50.00%
targets/php_11_2/repo/Zend/zend_cpuinfo.c                                                   42                12    71.43%           5                 0   100.00%          54                15    72.22%          20                10    50.00%
targets/php_11_2/repo/Zend/zend_cpuinfo.h                                                    8                 5    37.50%           8                 5    37.50%          45                30    33.33%           0                 0         -
targets/php_11_2/repo/Zend/zend_default_classes.c                                            1                 0   100.00%           1                 0   100.00%          11                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_enum.c                                                     813               812     0.12%          19                18     5.26%         260               247     5.00%         200               200     0.00%
targets/php_11_2/repo/Zend/zend_enum.h                                                      25                25     0.00%           2                 2     0.00%           9                 9     0.00%           6                 6     0.00%
targets/php_11_2/repo/Zend/zend_enum_arginfo.h                                               6                 0   100.00%           2                 0   100.00%          13                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_exceptions.c                                              1618              1586     1.98%          45                43     4.44%         683               640     6.30%         364               357     1.92%
targets/php_11_2/repo/Zend/zend_exceptions.h                                                 9                 9     0.00%           1                 1     0.00%           6                 6     0.00%           2                 2     0.00%
targets/php_11_2/repo/Zend/zend_exceptions_arginfo.h                                       192                 2    98.96%          12                 0   100.00%         147                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_execute.c                                                 7746              7720     0.34%         188               184     2.13%        3457              3432     0.72%        2016              2012     0.20%
targets/php_11_2/repo/Zend/zend_execute.h                                                  601               525    12.65%          13                 5    61.54%         154               100    35.06%         122               116     4.92%
targets/php_11_2/repo/Zend/zend_execute_API.c                                             3594              3081    14.27%          50                36    28.00%        1172               884    24.57%         644               552    14.29%
targets/php_11_2/repo/Zend/zend_extensions.c                                               136               130     4.41%          18                15    16.67%         196               182     7.14%          68                67     1.47%
targets/php_11_2/repo/Zend/zend_fibers.c                                                  1826              1817     0.49%          36                32    11.11%         444               416     6.31%         384               384     0.00%
targets/php_11_2/repo/Zend/zend_fibers.h                                                     2                 2     0.00%           2                 2     0.00%           8                 8     0.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_fibers_arginfo.h                                             9                 0   100.00%           2                 0   100.00%          14                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_float.c                                                      5                 1    80.00%           3                 1    66.67%          11                 4    63.64%           0                 0         -
targets/php_11_2/repo/Zend/zend_gc.c                                                      2179              2053     5.78%          41                31    24.39%        1139              1042     8.52%         518               503     2.90%
targets/php_11_2/repo/Zend/zend_gc.h                                                        52                47     9.62%           4                 3    25.00%          33                27    18.18%          12                10    16.67%
targets/php_11_2/repo/Zend/zend_gdb.c                                                       29                29     0.00%           4                 4     0.00%          68                68     0.00%          24                24     0.00%
targets/php_11_2/repo/Zend/zend_generators.c                                              2304              2303     0.04%          40                39     2.50%         738               724     1.90%         496               496     0.00%
targets/php_11_2/repo/Zend/zend_generators.h                                                 9                 9     0.00%           1                 1     0.00%          18                18     0.00%           6                 6     0.00%
targets/php_11_2/repo/Zend/zend_generators_arginfo.h                                         8                 0   100.00%           2                 0   100.00%          14                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_hash.c                                                    7100              5922    16.59%         112                67    40.18%        2217              1492    32.70%        1980              1719    13.18%
targets/php_11_2/repo/Zend/zend_hash.h                                                    2178              1973     9.41%          62                44    29.03%         577               443    23.22%         616               588     4.55%
targets/php_11_2/repo/Zend/zend_highlight.c                                                148               148     0.00%           4                 4     0.00%         175               175     0.00%         124               124     0.00%
targets/php_11_2/repo/Zend/zend_inheritance.c                                            10329              9638     6.69%          69                46    33.33%        2402              1953    18.69%        2416              2205     8.73%
targets/php_11_2/repo/Zend/zend_ini.c                                                     1013               916     9.58%          33                22    33.33%         383               280    26.89%         184               152    17.39%
targets/php_11_2/repo/Zend/zend_ini_parser.c                                              1000               871    12.90%          17                12    29.41%         930               736    20.86%         456               345    24.34%
targets/php_11_2/repo/Zend/zend_ini_scanner.c                                             5811              5354     7.86%          13                 8    38.46%        3546              3227     9.00%        2640              2452     7.12%
targets/php_11_2/repo/Zend/zend_interfaces.c                                              1526              1426     6.55%          31                26    16.13%         413               328    20.58%         220               174    20.91%
targets/php_11_2/repo/Zend/zend_interfaces_arginfo.h                                        25                 0   100.00%           8                 0   100.00%          52                 0   100.00%           0                 0         -
targets/php_11_2/repo/Zend/zend_iterators.c                                                 32                29     9.38%           7                 6    14.29%          35                32     8.57%           8                 8     0.00%
targets/php_11_2/repo/Zend/zend_language_parser.c                                         1882              1882     0.00%           7                 7     0.00%        3756              3756     0.00%        1578              1578     0.00%
targets/php_11_2/repo/Zend/zend_language_scanner.c                                       14608             14588     0.14%          38                36     5.26%        9450              9431     0.20%        5164              5163     0.02%
targets/php_11_2/repo/Zend/zend_list.c                                                     661               529    19.97%          27                15    44.44%         220               143    35.00%          82                71    13.41%
targets/php_11_2/repo/Zend/zend_llist.c                                                    804               775     3.61%          19                12    36.84%         191               138    27.75%         272               261     4.04%
targets/php_11_2/repo/Zend/zend_multibyte.c                                                287               262     8.71%          22                16    27.27%         115                75    34.78%          24                16    33.33%
targets/php_11_2/repo/Zend/zend_multiply.h                                                  22                12    45.45%           3                 1    66.67%          53                27    49.06%          10                 6    40.00%
