Filename                                                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
magma/src/arch/x86.h                                                     2                 2     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
magma/src/canary.c                                                      22                22     0.00%           3                 3     0.00%          53                53     0.00%          14                14     0.00%
magma/src/storage.c                                                     43                43     0.00%           3                 3     0.00%          47                47     0.00%          22                22     0.00%
targets/libxml2_16_1/repo/HTMLparser.c                                4087              4086     0.02%          96                95     1.04%        3630              3628     0.06%        2924              2924     0.00%
targets/libxml2_16_1/repo/HTMLtree.c                                   628               628     0.00%          21                21     0.00%         690               690     0.00%         468               468     0.00%
targets/libxml2_16_1/repo/SAX.c                                         15                15     0.00%           3                 3     0.00%          98                98     0.00%           8                 8     0.00%
targets/libxml2_16_1/repo/SAX2.c                                      1404               295    78.99%          50                11    78.00%        1783               431    75.83%        1148               395    65.59%
targets/libxml2_16_1/repo/buf.c                                        836               540    35.41%          37                16    56.76%         671               416    38.00%         618               466    24.60%
targets/libxml2_16_1/repo/catalog.c                                   1967              1764    10.32%          72                57    20.83%        2296              2063    10.15%        1524              1408     7.61%
targets/libxml2_16_1/repo/chvalid.c                                    118                99    16.10%           9                 8    11.11%          69                41    40.58%          96                85    11.46%
targets/libxml2_16_1/repo/debugXML.c                                  1490              1490     0.00%          66                66     0.00%        2399              2399     0.00%        1404              1404     0.00%
targets/libxml2_16_1/repo/dict.c                                       583               242    58.49%          22                 5    77.27%         662               195    70.54%         434               191    55.99%
targets/libxml2_16_1/repo/encoding.c                                  1194               677    43.30%          37                17    54.05%        1557               937    39.82%         964               570    40.87%
targets/libxml2_16_1/repo/entities.c                                   551               277    49.73%          26                13    50.00%         673               391    41.90%         430               243    43.49%
targets/libxml2_16_1/repo/error.c                                      551               223    59.53%          20                10    50.00%         597               245    58.96%         490               230    53.06%
targets/libxml2_16_1/repo/globals.c                                    151               147     2.65%          53                51     3.77%         406               399     1.72%          12                11     8.33%
targets/libxml2_16_1/repo/hash.c                                       473               180    61.95%          29                 7    75.86%         602               220    63.46%         362               174    51.93%
targets/libxml2_16_1/repo/list.c                                       223               179    19.73%          32                24    25.00%         324               256    20.99%         136               115    15.44%
targets/libxml2_16_1/repo/nanoftp.c                                   1024              1024     0.00%          31                31     0.00%        1232              1232     0.00%         680               680     0.00%
targets/libxml2_16_1/repo/parser.c                                   11246              2523    77.57%         180                57    68.33%        9635              3042    68.43%        8360              2631    68.53%
targets/libxml2_16_1/repo/parserInternals.c                            901               287    68.15%          38                16    57.89%        1191               447    62.47%         760               299    60.66%
