File '/magma/targets/libxml2_2_1/repo/valid.c':
Name                                        Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
-----------------------------------------------------------------------------------------------------------------------
xmlValidBuildContentModel                        25       8  68.00%        45      15  66.67%        16       8  50.00%
xmlNewValidCtxt                                   4       4   0.00%         9       9   0.00%         2       2   0.00%
xmlFreeValidCtxt                                  5       5   0.00%         7       7   0.00%         4       4   0.00%
xmlNewDocElementContent                          27       4  85.19%        57      16  71.93%        26       5  80.77%
xmlNewElementContent                              1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlCopyDocElementContent                         45      45   0.00%        65      65   0.00%        36      36   0.00%
xmlCopyElementContent                             1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlFreeDocElementContent                         47       4  91.49%        52       7  86.54%        42       7  83.33%
xmlFreeElementContent                             1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlSprintfElementContent                          1       1   0.00%         2       2   0.00%         0       0   0.00%
xmlSnprintfElementContent                        74      22  70.27%        88      20  77.27%        74      29  60.81%
xmlAddElementDecl                                94      29  69.15%       156      57  63.46%        80      33  58.75%
xmlFreeElementTable                               1       0 100.00%         3       0 100.00%         0       0   0.00%
xmlCopyElementTable                               1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlDumpElementDecl                               19      19   0.00%        50      50   0.00%        22      22   0.00%
xmlDumpElementTable                               6       6   0.00%         5       5   0.00%         4       4   0.00%
xmlCreateEnumeration                              6       1  83.33%        12       3  75.00%         4       2  50.00%
xmlFreeEnumeration                                8       1  87.50%         6       0 100.00%         6       2  66.67%
xmlCopyEnumeration                               10      10   0.00%         9       9   0.00%         6       6   0.00%
xmlAddAttributeDecl                              96      15  84.38%       160      38  76.25%        88      23  73.86%
xmlFreeAttributeTable                             1       0 100.00%         3       0 100.00%         0       0   0.00%
xmlCopyAttributeTable                             1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlDumpAttributeDecl                             28      28   0.00%        72      72   0.00%        40      40   0.00%
xmlDumpAttributeTable                             6       6   0.00%         5       5   0.00%         4       4   0.00%
xmlAddNotationDecl                               29       6  79.31%        46      14  69.57%        22       9  59.09%
xmlFreeNotationTable                              1       0 100.00%         3       0 100.00%         0       0   0.00%
xmlCopyNotationTable                              1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlDumpNotationDecl                              11      11   0.00%        18      18   0.00%         8       8   0.00%
xmlDumpNotationTable                              6       6   0.00%         5       5   0.00%         4       4   0.00%
xmlAddID                                         33       5  84.85%        53      13  75.47%        24       8  66.67%
xmlFreeIDTable                                    1       1   0.00%         3       3   0.00%         0       0   0.00%
xmlIsID                                          74      17  77.03%        44       7  84.09%        60      20  66.67%
xmlRemoveID                                      18      18   0.00%        22      22   0.00%        12      12   0.00%
xmlGetID                                         16       9  43.75%        20      12  40.00%        10       7  30.00%
xmlAddRef                                        41      15  63.41%        68      38  44.12%        30      15  50.00%
xmlFreeRefTable                                   1       0 100.00%         3       0 100.00%         0       0   0.00%
xmlIsRef                                         31       6  80.65%        25       5  80.00%        24       8  66.67%
xmlRemoveRef                                     18      18   0.00%        26      26   0.00%        12      12   0.00%
xmlGetRefs                                       10      10   0.00%        13      13   0.00%         6       6   0.00%
