File '/magma/targets/openssl_20_4/repo/ssl/t1_lib.c':
Name                                     Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
--------------------------------------------------------------------------------------------------------------------
tls1_default_timeout                           1       0 100.00%         3       0 100.00%         0       0   0.00%
tls1_new                                       7       2  71.43%         7       2  71.43%         4       2  50.00%
tls1_free                                      4       0 100.00%         4       0 100.00%         0       0   0.00%
tls1_clear                                     9       2  77.78%         9       3  66.67%         4       2  50.00%
ssl_load_groups                               27       8  70.37%        27       5  81.48%        12       3  75.00%
tls1_group_id_lookup                           7       1  85.71%         8       1  87.50%         4       1  75.00%
tls1_group_id2nid                             17       8  52.94%        13       5  61.54%         8       4  50.00%
tls1_nid2group_id                              8       1  87.50%         9       1  88.89%         4       1  75.00%
tls1_get_supported_groups                     14       8  42.86%        25      15  40.00%        10       5  50.00%
tls_valid_group                               69      46  33.33%        35      15  57.14%        48      38  20.83%
tls_group_allowed                              4       1  75.00%        10       1  90.00%         2       1  50.00%
tls1_shared_group                             42      15  64.29%        37      13  64.86%        22      10  54.55%
tls1_set_groups                               42      42   0.00%        35      35   0.00%        14      14   0.00%
tls1_set_groups_list                          24      24   0.00%        26      26   0.00%         8       8   0.00%
tls1_check_group_id                           41      22  46.34%        31      18  41.94%        24      17  29.17%
tls1_get_formatlist                            8       2  75.00%        12       3  75.00%         4       2  50.00%
tls1_check_ec_tmp_key                         16      11  31.25%         9       6  33.33%         6       5  16.67%
ssl_setup_sig_algs                            29       3  89.66%        37       5  86.49%        14       4  71.43%
tls1_lookup_md                                13       2  84.62%        15       2  86.67%         8       2  75.00%
tls1_set_peer_legacy_sigalg                    7       7   0.00%        11      11   0.00%         4       4   0.00%
tls12_get_psigalgs                            20       9  55.00%        23      13  43.48%        14       6  57.14%
tls_check_sigalg_curve                        22      22   0.00%        21      21   0.00%        12      12   0.00%
tls12_check_peer_sigalg                      207     207   0.00%        90      90   0.00%        84      84   0.00%
