File '/magma/targets/sqlite3_18_1/work/sqlite3.c':
Name                                                     Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
------------------------------------------------------------------------------------------------------------------------------------
sqlite3_status64                                              18      18   0.00%        17      17   0.00%         8       8   0.00%
sqlite3_status                                                 3       3   0.00%        10      10   0.00%         2       2   0.00%
sqlite3_db_status                                             90      90   0.00%       139     139   0.00%        66      66   0.00%
sqlite3_vfs_find                                              15       2  86.67%        20       0 100.00%         8       3  62.50%
sqlite3_vfs_register                                          23       1  95.65%        20       0 100.00%         6       2  66.67%
sqlite3_vfs_unregister                                         7       7   0.00%        12      12   0.00%         2       2   0.00%
sqlite3_mutex_alloc                                           17      17   0.00%         8       8   0.00%         8       8   0.00%
sqlite3_mutex_free                                             5       0 100.00%         6       0 100.00%         2       1  50.00%
sqlite3_mutex_enter                                            5       0 100.00%         6       0 100.00%         2       1  50.00%
sqlite3_mutex_try                                              7       7   0.00%         8       8   0.00%         2       2   0.00%
sqlite3_mutex_leave                                            5       0 100.00%         6       0 100.00%         2       1  50.00%
sqlite3_mutex_held                                             5       0 100.00%         4       0 100.00%         4       1  75.00%
sqlite3_mutex_notheld                                          5       0 100.00%         4       0 100.00%         4       2  50.00%
sqlite3_release_memory                                         2       0 100.00%         5       0 100.00%         0       0   0.00%
sqlite3_memory_alarm                                           2       2   0.00%         6       6   0.00%         0       0   0.00%
sqlite3_soft_heap_limit64                                     35      24  31.43%        25      10  60.00%        16      14  12.50%
sqlite3_soft_heap_limit                                        3       3   0.00%         4       4   0.00%         2       2   0.00%
sqlite3_hard_heap_limit64                                     24       4  83.33%        17       0 100.00%         8       5  37.50%
sqlite3_memory_used                                            2       2   0.00%         5       5   0.00%         0       0   0.00%
sqlite3_memory_highwater                                       2       2   0.00%         5       5   0.00%         0       0   0.00%
sqlite3_malloc                                                 7       2  71.43%         6       0 100.00%         4       2  50.00%
sqlite3_malloc64                                               4       1  75.00%         6       0 100.00%         2       1  50.00%
sqlite3_msize                                                  7       7   0.00%         5       5   0.00%         2       2   0.00%
sqlite3_free                                                  18       2  88.89%        14       2  85.71%         4       1  75.00%
sqlite3_realloc                                                6       6   0.00%         7       7   0.00%         4       4   0.00%
sqlite3_realloc64                                              4       4   0.00%         6       6   0.00%         2       2   0.00%
sqlite3_str_vappendf                                         513      74  85.58%       614      83  86.48%       414      74  82.13%
sqlite3_str_appendchar                                         8       0 100.00%         7       0 100.00%         6       0 100.00%
sqlite3_str_append                                            11       0 100.00%        13       0 100.00%         4       0 100.00%
