Filename                                                                                        Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
magma/src/arch/x86.h                                                                                  2                 2     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
magma/src/canary.c                                                                                   22                22     0.00%           3                 3     0.00%          53                53     0.00%          14                14     0.00%
magma/src/storage.c                                                                                  43                43     0.00%           3                 3     0.00%          47                47     0.00%          22                22     0.00%
targets/openssl_11_6/repo/crypto/LPdir_unix.c                                                        26                26     0.00%           2                 2     0.00%          47                47     0.00%          22                22     0.00%
targets/openssl_11_6/repo/crypto/aes/aes_cbc.c                                                        4                 4     0.00%           1                 1     0.00%           8                 8     0.00%           2                 2     0.00%
targets/openssl_11_6/repo/crypto/aes/aes_core.c                                                     238               238     0.00%          18                18     0.00%         484               484     0.00%          34                34     0.00%
targets/openssl_11_6/repo/crypto/aria/aria.c                                                        463               463     0.00%           3                 3     0.00%         225               225     0.00%          36                36     0.00%
targets/openssl_11_6/repo/crypto/asn1/a_bitstr.c                                                    155                88    43.23%           6                 3    50.00%         152                75    50.66%          86                58    32.56%
targets/openssl_11_6/repo/crypto/asn1/a_d2i_fp.c                                                    177               102    42.37%           7                 6    14.29%         179                96    46.37%          68                29    57.35%
targets/openssl_11_6/repo/crypto/asn1/a_digest.c                                                     50                50     0.00%           3                 3     0.00%          49                49     0.00%          18                18     0.00%
targets/openssl_11_6/repo/crypto/asn1/a_dup.c                                                        74                74     0.00%           2                 2     0.00%          59                59     0.00%          30                30     0.00%
targets/openssl_11_6/repo/crypto/asn1/a_gentm.c                                                      34                 5    85.29%           6                 1    83.33%          40                 7    82.50%          18                 5    72.22%
targets/openssl_11_6/repo/crypto/asn1/a_i2d_fp.c                                                     82                82     0.00%           5                 5     0.00%          88                88     0.00%          26                26     0.00%
targets/openssl_11_6/repo/crypto/asn1/a_int.c                                                       408               200    50.98%          33                17    48.48%         411               204    50.36%         178                81    54.49%
targets/openssl_11_6/repo/crypto/asn1/a_mbstr.c                                                     272               117    56.99%          10                 3    70.00%         243                92    62.14%         116                51    56.03%
targets/openssl_11_6/repo/crypto/asn1/a_object.c                                                    368               250    32.07%           9                 4    55.56%         307               206    32.90%         162               117    27.78%
targets/openssl_11_6/repo/crypto/asn1/a_octet.c                                                       3                 2    33.33%           3                 2    33.33%           9                 6    33.33%           0                 0         -
targets/openssl_11_6/repo/crypto/asn1/a_print.c                                                      78                54    30.77%           3                 2    33.33%          72                49    31.94%          52                35    32.69%
targets/openssl_11_6/repo/crypto/asn1/a_sign.c                                                      284               284     0.00%           4                 4     0.00%         211               211     0.00%          96                96     0.00%
