benchmark,time,file_name
libpng_4_1,27.3s,aflpp-experiments/log/aflplusplus_libpng_4_1_build.log
libsndfile_15_1,113.6s,aflpp-experiments/log/aflplusplus_libsndfile_15_1_build.log
libsndfile_2_1,121.1s,aflpp-experiments/log/aflplusplus_libsndfile_2_1_build.log
libsndfile_7_1,125.7s,aflpp-experiments/log/aflplusplus_libsndfile_7_1_build.log
libtiff_10_1,49.0s,aflpp-experiments/log/aflplusplus_libtiff_10_1_build.log
libtiff_6_1,48.0s,aflpp-experiments/log/aflplusplus_libtiff_6_1_build.log
libtiff_7_1,48.2s,aflpp-experiments/log/aflplusplus_libtiff_7_1_build.log
libtiff_9_1,57.5s,aflpp-experiments/log/aflplusplus_libtiff_9_1_build.log
libxml2_10_2,47.0s,aflpp-experiments/log/aflplusplus_libxml2_10_2_build.log
libxml2_12_2,48.1s,aflpp-experiments/log/aflplusplus_libxml2_12_2_build.log
libxml2_14_1,47.1s,aflpp-experiments/log/aflplusplus_libxml2_14_1_build.log
libxml2_15_1,45.4s,aflpp-experiments/log/aflplusplus_libxml2_15_1_build.log
libxml2_16_1,47.4s,aflpp-experiments/log/aflplusplus_libxml2_16_1_build.log
libxml2_16_2,61.8s,aflpp-experiments/log/aflplusplus_libxml2_16_2_build.log
libxml2_1_2,53.2s,aflpp-experiments/log/aflplusplus_libxml2_1_2_build.log
libxml2_2_1,50.7s,aflpp-experiments/log/aflplusplus_libxml2_2_1_build.log
libxml2_8_1,47.3s,aflpp-experiments/log/aflplusplus_libxml2_8_1_build.log
openssl_10_5,36.6s,aflpp-experiments/log/aflplusplus_openssl_10_5_build.log
openssl_11_4,40.1s,aflpp-experiments/log/aflplusplus_openssl_11_4_build.log
openssl_11_6,38.3s,aflpp-experiments/log/aflplusplus_openssl_11_6_build.log
openssl_12_6,37.7s,aflpp-experiments/log/aflplusplus_openssl_12_6_build.log
openssl_13_2,38.8s,aflpp-experiments/log/aflplusplus_openssl_13_2_build.log
openssl_16_6,34.7s,aflpp-experiments/log/aflplusplus_openssl_16_6_build.log
openssl_17_2,33.2s,aflpp-experiments/log/aflplusplus_openssl_17_2_build.log
openssl_17_4,32.9s,aflpp-experiments/log/aflplusplus_openssl_17_4_build.log
openssl_18_5,36.3s,aflpp-experiments/log/aflplusplus_openssl_18_5_build.log
openssl_19_1,33.4s,aflpp-experiments/log/aflplusplus_openssl_19_1_build.log
openssl_1_3,37.9s,aflpp-experiments/log/aflplusplus_openssl_1_3_build.log
openssl_1_5,36.6s,aflpp-experiments/log/aflplusplus_openssl_1_5_build.log
openssl_20_3,33.0s,aflpp-experiments/log/aflplusplus_openssl_20_3_build.log
openssl_20_4,36.5s,aflpp-experiments/log/aflplusplus_openssl_20_4_build.log
openssl_4_4,35.1s,aflpp-experiments/log/aflplusplus_openssl_4_4_build.log
openssl_5_1,32.9s,aflpp-experiments/log/aflplusplus_openssl_5_1_build.log
openssl_6_4,34.2s,aflpp-experiments/log/aflplusplus_openssl_6_4_build.log
openssl_6_5,33.4s,aflpp-experiments/log/aflplusplus_openssl_6_5_build.log
openssl_6_6,31.7s,aflpp-experiments/log/aflplusplus_openssl_6_6_build.log
openssl_7_2,36.7s,aflpp-experiments/log/aflplusplus_openssl_7_2_build.log
openssl_7_4,33.0s,aflpp-experiments/log/aflplusplus_openssl_7_4_build.log
openssl_8_1,32.3s,aflpp-experiments/log/aflplusplus_openssl_8_1_build.log
openssl_9_1,32.8s,aflpp-experiments/log/aflplusplus_openssl_9_1_build.log
poppler_17_1,68.5s,aflpp-experiments/log/aflplusplus_poppler_17_1_build.log
poppler_3_1,58.5s,aflpp-experiments/log/aflplusplus_poppler_3_1_build.log
poppler_9_1,65.7s,aflpp-experiments/log/aflplusplus_poppler_9_1_build.log
sqlite3_18_1,39.1s,aflpp-experiments/log/aflplusplus_sqlite3_18_1_build.log
sqlite3_20_1,34.7s,aflpp-experiments/log/aflplusplus_sqlite3_20_1_build.log
php_11_2,152.1s,aflpp-php/log/aflplusplus_php_11_2_build.log
php_15_2,152.8s,aflpp-php/log/aflplusplus_php_15_2_build.log
php_16_3,156.2s,aflpp-php/log/aflplusplus_php_16_3_build.log
php_4_1,153.7s,aflpp-php/log/aflplusplus_php_4_1_build.log
php_6_2,146.6s,afl-experiments-and-php/log/aflplusplus_php_6_2_build.log
