benchmark,time,file_name
libpng_4_1,14.7s,ffd-experiments/log/ffd_libpng_4_1_build.log
libsndfile_15_1,65.1s,ffd-experiments/log/ffd_libsndfile_15_1_build.log
libsndfile_2_1,67.0s,ffd-experiments/log/ffd_libsndfile_2_1_build.log
libsndfile_7_1,67.5s,ffd-experiments/log/ffd_libsndfile_7_1_build.log
libtiff_10_1,35.6s,ffd-experiments/log/ffd_libtiff_10_1_build.log
libtiff_6_1,30.8s,ffd-experiments/log/ffd_libtiff_6_1_build.log
libtiff_7_1,35.5s,ffd-experiments/log/ffd_libtiff_7_1_build.log
libtiff_9_1,37.9s,ffd-experiments/log/ffd_libtiff_9_1_build.log
libxml2_10_2,34.0s,ffd-experiments/log/ffd_libxml2_10_2_build.log
libxml2_12_2,37.5s,ffd-experiments/log/ffd_libxml2_12_2_build.log
libxml2_1_2,33.1s,ffd-experiments/log/ffd_libxml2_1_2_build.log
libxml2_14_1,38.3s,ffd-experiments/log/ffd_libxml2_14_1_build.log
libxml2_15_1,34.3s,ffd-experiments/log/ffd_libxml2_15_1_build.log
libxml2_16_1,34.2s,ffd-experiments/log/ffd_libxml2_16_1_build.log
libxml2_16_2,45.2s,ffd-experiments/log/ffd_libxml2_16_2_build.log
libxml2_2_1,35.2s,ffd-experiments/log/ffd_libxml2_2_1_build.log
libxml2_8_1,37.9s,ffd-experiments/log/ffd_libxml2_8_1_build.log
openssl_10_5,22.7s,ffd-experiments/log/ffd_openssl_10_5_build.log
openssl_11_4,26.2s,ffd-experiments/log/ffd_openssl_11_4_build.log
openssl_11_6,25.4s,ffd-experiments/log/ffd_openssl_11_6_build.log
openssl_12_6,22.5s,ffd-experiments/log/ffd_openssl_12_6_build.log
openssl_13_2,26.4s,ffd-experiments/log/ffd_openssl_13_2_build.log
openssl_1_3,24.2s,ffd-experiments/log/ffd_openssl_1_3_build.log
openssl_1_5,18.4s,ffd-experiments/log/ffd_openssl_1_5_build.log
openssl_16_6,23.3s,ffd-experiments/log/ffd_openssl_16_6_build.log
openssl_17_2,20.0s,ffd-experiments/log/ffd_openssl_17_2_build.log
openssl_17_4,23.2s,ffd-experiments/log/ffd_openssl_17_4_build.log
openssl_18_5,22.5s,ffd-experiments/log/ffd_openssl_18_5_build.log
openssl_19_1,24.1s,ffd-experiments/log/ffd_openssl_19_1_build.log
openssl_20_3,23.6s,ffd-experiments/log/ffd_openssl_20_3_build.log
openssl_20_4,23.3s,ffd-experiments/log/ffd_openssl_20_4_build.log
openssl_4_4,19.9s,ffd-experiments/log/ffd_openssl_4_4_build.log
openssl_5_1,22.8s,ffd-experiments/log/ffd_openssl_5_1_build.log
openssl_6_4,21.1s,ffd-experiments/log/ffd_openssl_6_4_build.log
openssl_6_5,20.4s,ffd-experiments/log/ffd_openssl_6_5_build.log
openssl_6_6,22.5s,ffd-experiments/log/ffd_openssl_6_6_build.log
openssl_7_2,23.6s,ffd-experiments/log/ffd_openssl_7_2_build.log
openssl_7_4,22.7s,ffd-experiments/log/ffd_openssl_7_4_build.log
openssl_8_1,22.4s,ffd-experiments/log/ffd_openssl_8_1_build.log
openssl_9_1,22.8s,ffd-experiments/log/ffd_openssl_9_1_build.log
php_11_2,119.7s,ffd-experiments/log/ffd_php_11_2_build.log
php_15_2,118.8s,ffd-experiments/log/ffd_php_15_2_build.log
php_16_3,123.1s,ffd-experiments/log/ffd_php_16_3_build.log
php_4_1,120.5s,ffd-experiments/log/ffd_php_4_1_build.log
poppler_17_1,49.6s,ffd-experiments/log/ffd_poppler_17_1_build.log
poppler_3_1,50.3s,ffd-experiments/log/ffd_poppler_3_1_build.log
poppler_9_1,44.0s,ffd-experiments/log/ffd_poppler_9_1_build.log
sqlite3_18_1,100.5s,ffd-experiments/log/ffd_sqlite3_18_1_build.log
sqlite3_20_1,78.1s,ffd-experiments/log/ffd_sqlite3_20_1_build.log
php_6_2,118.3s,afl-experiments-and-php/log/ffd_php_6_2_build.log
